1,"EDUCATION", NULL
14,"Formation des enseignants et sciences de l'éducation", NULL
140,"Formation des enseignants et sciences de l'éducation (programmes larges)", NULL
1401,"Formation des enseignants, général", NULL
1402,"Cours pédagogiques pratiques, général", NULL
141,"Enseignement et formation", NULL
142,"Science de l'éducation", NULL
1421,"Didactique", NULL
1422,"Education science", NULL
1423,"Contrôle, évaluation et mesure des connaissances", NULL
1424,"Recherche pédagogique", NULL
1425,"Science pédagogiques", NULL
143,"Formation des enseignants pré-scolaire", NULL
1431,"Formation des enseignants de la petite enfance", NULL
1432,"Formation des enseignants en école maternelle", NULL
144,"Formation des enseignants niveau élémentaire", NULL
1441,"Formation des enseignants niveau élémentaire en classe", NULL
1442,"Formation des enseignants niveau élémentaire à domicile", NULL
1443,"Enseignement primaire", NULL
1444,"Formation des enseignants pour enfants besoins spécifiques", NULL
145,"Formation d'enseignants sur un sujet de spécialisation", NULL
1451,"Enseignement secondaire", NULL
1452,"Formation d'enseignants sur des sujets théoriques", NULL
1453,"Formation d'enseignants en langues étrangères", NULL
146,"Formation d'enseignants sur des sujets professionnels", NULL
1461,"Formation d'enseignants arts et artisanats", NULL
1462,"Formation d'enseignants techniques commerciales", NULL
1463,"Formation d'enseignants musique", NULL
1464,"Formation d'enseignants soins infirmiers", NULL
1465,"Formation d'enseignants éducation physique", NULL
1466,"Formation d'enseignants sujets techniques", NULL
1467,"Formation d'instructeurs d'auto-école", NULL
1468,"Formation de formateurs professionnels intra-entreprise", NULL
1469,"Formation de formateurs professionnels", NULL
149,"Formation des enseignants et sciences de l'éducation (autres)", NULL
2,"SCIENCES HUMAINES ET ARTS", NULL
21,"Arts", NULL
210,"Arts (programmes larges)", NULL
211,"Beaux-arts", NULL
212,"Musique et arts du spectacle", NULL
2121,"Musique et musicologie", NULL
2122,"Arts du spectacle", NULL
213,"Arts graphiques et audiovisuels", NULL
214,"Design", NULL
215,"Artisanats", NULL
219,"Arts (autres)", NULL
22,"Lettres", NULL
220,"Lettres (programmes larges)", NULL
221,"Religion", NULL
222,"Langues et Sciences philologiques", NULL
2221,"Langues modernes CE", NULL
2222,"Littérature générale et comparative", NULL
2223,"Linguistique", NULL
2224,"Traduction, Interprétation", NULL
2225,"Philologie classique", NULL
2226,"Langues non CE", NULL
2227,"Langues moins largement enseignées", NULL
2228,"Langues régionales et minoritairesa", NULL
2229,"Autres - Langues et sciences philologiques", NULL
223,"Langue maternelle", NULL
224,"Histoire, philosophie et autres sujets associés", NULL
225,"Histoire et archéologie", NULL
226,"Philosophie et morale", NULL
229,"Lettres (autres)", NULL
3,"SCIENCES SOCIALES, COMMERCE ET DROIT", NULL
31,"Sciences sociales et du comportement", NULL
310,"Sciences sociales et du comportement (programmes larges)", NULL
311,"Psychologie", NULL
312,"Sociologie et études culturelles", NULL
313,"Sciences politiques et instruction civique", NULL
314,"Economie", NULL
319,"Sciences sociales et du comportement (autres)", NULL
32,"Journalisme et information", NULL
321,"Journalisme et reportage", NULL
3211,"Radio / Télédiffusion", NULL
322,"Bibliothèque, information, archive", NULL
3221,"Documentation, Archives", NULL
3222,"Etudes de muséologie, Conservation", NULL
329,"Journalisme et information (autres)", NULL
34,"Commerce et administration", NULL
340,"Commerce et administration (programmes larges)", NULL
341,"Vente de gros et au détail", NULL
342,"Gestion du marketing et des ventes", NULL
343,"Finance, banque, assurance", NULL
344,"Comptabilité et fiscalité", NULL
345,"Gestion et administration", NULL
346,"Secrétariat et bureautique", NULL
347,"Vie professionnelle", NULL
349,"Commerce et administration (autres)", NULL
38,"Droit", NULL
380,"Droit", NULL
